date,long_deal_amount_外資,long_deal_amount_投信,long_deal_amount_自營商,long_deal_volume_外資,long_deal_volume_投信,long_deal_volume_自營商,long_open_interest_balance_amount_外資,long_open_interest_balance_amount_投信,long_open_interest_balance_amount_自營商,long_open_interest_balance_volume_外資,long_open_interest_balance_volume_投信,long_open_interest_balance_volume_自營商,short_deal_amount_外資,short_deal_amount_投信,short_deal_amount_自營商,short_deal_volume_外資,short_deal_volume_投信,short_deal_volume_自營商,short_open_interest_balance_amount_外資,short_open_interest_balance_amount_投信,short_open_interest_balance_amount_自營商,short_open_interest_balance_volume_外資,short_open_interest_balance_volume_投信,short_open_interest_balance_volume_自營商
2018-08-20,128012222,57721,28660972,59972,27,13428,140358180,5422494,16206701,65778,2541,7615,122129184,1067255,31243095,57218,500,14639,65807743,58923888,32154004,30838,27612,15093
2018-08-21,109694162,1080792,34049312,51137,502,15869,145742426,5441136,17251254,67693,2527,8033,108891954,137684,33346535,50761,64,15533,69725684,58480768,32708276,32383,27160,15216
2018-08-22,106023323,131272,41096506,49223,61,19082,144781639,5506351,14378832,67266,2558,6701,103059737,55895,36260115,47851,26,16834,65833518,58455838,25000915,30584,27156,11640
2018-08-23,128675505,806327,36333854,59595,372,16825,147975824,5651976,17922534,68263,2607,8291,123368329,21552,34067639,57141,10,15773,63117255,58191090,26259770,29114,26841,12141
2018-08-24,117937463,166073,36617287,54698,77,16991,138730348,5712795,18440195,64313,2648,8571,133389007,103398,33627436,61867,48,15604,69734858,57932464,23707042,32325,26853,11017
2018-08-27,122555880,289160,33333028,56493,133,15361,143648399,5838714,17525467,65995,2682,8078,111630481,13022,35672631,51448,6,16438,63044818,58256272,24954963,28961,26760,11495
2018-08-28,114878628,293699,30246110,52460,134,13812,151265725,6018128,18096211,69059,2747,8290,107276079,589385,30191889,48987,269,13790,60782507,59063720,25483854,27746,26960,11667
2018-08-29,128463474,72810,39385715,58333,33,17887,169164593,6012929,20552826,76624,2723,9339,114852717,77263,40140807,52151,35,18224,62543495,59484244,28748796,28325,26938,13055
2018-08-30,155871534,310328,41773346,70425,140,18875,177545529,6040056,22102275,80560,2740,10060,144195848,156807,39829017,65144,71,17995,59455421,59267250,28449780,26973,26886,12944
2018-08-31,137426118,39530,34040996,62522,18,15487,163949929,5927632,22296555,74391,2689,10144,153049142,711478,31709682,69626,323,14428,61516459,59827205,26455368,27908,27140,12035
2018-09-03,138017908,0,39165563,62845,0,17845,160917669,5696614,20160427,73601,2605,9246,137058274,1134941,41907594,62403,519,19100,58337102,60300710,27022579,26679,27575,12388
2018-09-04,121672162,829533,31810673,55470,377,14499,162670650,5644026,19663424,73946,2565,8965,122558053,107791,31079522,55879,49,14168,60354478,59865962,26332515,27433,27207,11999
2018-09-05,152145417,22007,45256419,69252,10,20603,162325769,5529245,18545185,74146,2525,8496,150988031,140366,47358432,68738,64,21561,59371273,59608221,27221948,27117,27221,12462
2018-09-06,170850682,52338,40925414,78281,24,18756,164317338,5526300,17175184,75394,2535,7906,167984525,76314,42395663,76977,35,19432,60647038,59387185,27283640,27825,27242,12547
2018-09-07,170269078,8675,46896790,78414,4,21608,161900113,5318388,15934440,74661,2452,7373,172975598,1498683,49686632,79657,691,22900,61445707,60397597,28607939,28335,27846,13222
2018-09-10,178507211,10792,59651169,82746,5,27683,146064384,5246779,15451377,68051,2444,7220,202880036,541035,58509553,94038,252,27147,73445923,60292646,26845217,34217,28085,12533
2018-09-11,158429314,1781022,43861999,73832,829,20442,135428696,4854850,16648651,63053,2260,7770,169366865,788084,41158708,78937,367,19185,73725002,58944286,25141900,34324,27439,11729
2018-09-12,140880978,871142,52368711,65692,406,24426,126618725,4958457,17982679,59044,2312,8402,148395511,519541,50753500,69197,242,23675,72564123,58610805,24792476,33837,27327,11582
2018-09-13,136191286,957170,39857547,63426,446,18561,123764510,5255363,20924375,57746,2452,9778,144332607,653193,36213187,67215,304,16869,79576314,58573725,23426424,37128,27325,10950
2018-09-14,183406648,11826260,50304241,84809,5449,23250,151338273,5557254,19756194,69574,2555,9103,159514067,9475245,51019791,73727,4371,23572,80784069,57325698,23066213,37136,26350,10630
2018-09-17,152156970,32255151,38616975,70188,14897,17808,141140524,5971435,22258114,65212,2759,10301,173252484,31550225,35761567,79914,14576,16491,92007749,56804357,22741538,42506,26245,10529
2018-09-18,220234802,18524198,55946249,102092,8586,25936,133210780,5861167,17799857,61799,2719,8274,216083016,19253676,62741432,100168,8929,29085,80132558,57226871,25364300,37171,26548,11787
2018-09-19,119371686,1518628,46719517,55049,699,21542,110435054,5821940,11950505,50786,2677,5515,104093552,531760,51861624,48010,245,23910,47625266,56736052,16389959,21900,26088,7560
2018-09-20,111018944,167084,33445212,51111,77,15402,102134187,5922462,14264558,47085,2730,6592,124788732,65121,33147886,57445,30,15265,53226495,56608244,18912499,24536,26094,8738
2018-09-21,140076425,1124905,41368692,64218,513,18962,114190786,5975351,16094721,52044,2723,7356,126524703,67718,37496244,58009,31,17182,51087525,56187492,16907277,23282,25605,7728
2018-09-25,85181202,79056,28022523,38824,36,12772,119631515,6011553,17003607,54494,2738,7766,78930422,26331,28494991,35975,12,12988,48638805,56198458,18280048,22154,25596,8349
2018-09-26,84558928,39496,31072885,38540,18,14163,117462545,6003878,15564097,53535,2736,7113,86830033,46076,30925572,39577,21,14100,48818684,56169957,16490310,22248,25597,7537
